"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11","addNewEmployeeWithEmptyField","Login Suite","2026-08-27","broken","2026-08-27","tests.SaveSystemUserPageList","Save System User Data","tests.SaveSystemUserPageList","addNewEmployeeWithEmptyField"
"","9444","searchForNonExistEmployee","Login Suite","2026-08-27","passed","2026-08-27","tests.ViewEmployeeListTest","Add and View Employees","tests.ViewEmployeeListTest","searchForNonExistEmployee"
"","119","loginTestWithEmptyFields","Default Suite","2026-08-27","passed","2026-08-27","tests.LoginTest","orangehrm_graduation_project","tests.LoginTest","loginTestWithEmptyFields"
"","8","loginTestUsingInvalidCredentials","Default Suite","2026-08-19","broken","2026-08-19","tests.LoginTest","orangehrm_graduation_project","tests.LoginTest","loginTestUsingInvalidCredentials"
"","9","loginTestUsingValidCredentials","Default Suite","2026-08-19","broken","2026-08-19","tests.LoginTest","orangehrm_graduation_project","tests.LoginTest","loginTestUsingValidCredentials"
"","15122","verifyTheOrangeHRMFooterLink","Login Suite","2026-08-27","passed","2026-08-27","tests.DashboardTest","Login and Dashboard","tests.DashboardTest","verifyTheOrangeHRMFooterLink"
"","8410","searchForAnEmployee","Default Suite","2026-08-21","broken","2026-08-21","tests.ViewEmployeeListTest","orangehrm_graduation_project","tests.ViewEmployeeListTest","searchForAnEmployee"
"","8686","searchForAnEmployee","Login Suite","2026-08-27","broken","2026-08-27","tests.ViewEmployeeListTest","Add and View Employees","tests.ViewEmployeeListTest","searchForAnEmployee"
"","6565","openAddEmployeePage","Login Suite","2026-08-27","passed","2026-08-27","tests.ViewEmployeeListTest","Add and View Employees","tests.ViewEmployeeListTest","openAddEmployeePage"
"","10606","searchForNonExistEmployee","Login Suite","2026-08-27","passed","2026-08-27","tests.ViewEmployeeListTest","Add and View Employees","tests.ViewEmployeeListTest","searchForNonExistEmployee"
"","8500","searchForAnEmployee","Default Suite","2026-08-21","broken","2026-08-21","tests.ViewEmployeeListTest","orangehrm_graduation_project","tests.ViewEmployeeListTest","searchForAnEmployee"
"","6516","addNewEmployeeWithEmptyField","Login Suite","2026-08-27","passed","2026-08-27","tests.AddEmployeeTest","Add and View Employees","tests.AddEmployeeTest","addNewEmployeeWithEmptyField"
"","2356","loginTestUsingValidCredentials","Login Suite","2026-08-27","passed","2026-08-27","tests.LoginTest","Login and Dashboard","tests.LoginTest","loginTestUsingValidCredentials"
"","1363","loginTestUsingInvalidCredentials","Login Suite","2026-08-27","passed","2026-08-27","tests.LoginTest","Login and Dashboard","tests.LoginTest","loginTestUsingInvalidCredentials"
"","8530","searchForAnEmployee","Default Suite","2026-08-21","broken","2026-08-21","tests.ViewEmployeeListTest","orangehrm_graduation_project","tests.ViewEmployeeListTest","searchForAnEmployee"
"","12737","searchForAnEmployee","Default Suite","2026-08-21","broken","2026-08-21","tests.ViewEmployeeListTest","orangehrm_graduation_project","tests.ViewEmployeeListTest","searchForAnEmployee"
"","2321","verifySideBarMenuAfterSuccessfulLogin","Login Suite","2026-08-27","passed","2026-08-27","tests.LoginTest","Login and Dashboard","tests.LoginTest","verifySideBarMenuAfterSuccessfulLogin"
"","7747","searchForAnEmployee","Login Suite","2026-08-27","broken","2026-08-27","tests.ViewEmployeeListTest","Add and View Employees","tests.ViewEmployeeListTest","searchForAnEmployee"
"","14319","endToEndAddNewEmployee","Login Suite","2026-08-27","passed","2026-08-27","tests.AddEmployeeTest","Add and View Employees","tests.AddEmployeeTest","endToEndAddNewEmployee"
"","10068","searchForAnEmployee","Default Suite","2026-08-21","broken","2026-08-21","tests.ViewEmployeeListTest","orangehrm_graduation_project","tests.ViewEmployeeListTest","searchForAnEmployee"
